"CERT","CHCLASS1","CITYST","COST","FAILDATE","FIN","ID","NAME","QBFASSET","QBFDEP","RESTYPE","RESTYPE1","SAVR"
18112,"NM","DEL CITY, OK",21348,"5/11/1984","6479","876","FIRST CONTINENTAL BANK & TRUST COMPANY OF",107237,104028,"FAILURE","IDT","FDIC"
23358,"N","CARMEL-BY-THE-SEA, CA",6638,"5/8/1984","5478","874","THE NAT BK OF CARMEL",76185,68381,"FAILURE","IDT","FDIC"
5239,"N","RUSHFORD, MN",7301,"5/4/1984","2385","870","THE FIRST NAT BK OF RUSHFORD",21991,21360,"FAILURE","PA","FDIC"
19091,"N","CASPER, WY",10038,"5/4/1984","2383","871","WESTERN NATIONAL BK OF CASPER",27373,23329,"FAILURE","PA","FDIC"
22861,"SM","MILLS, WY",2928,"5/4/1984","2384","872","STATE BANK OF MILLS",7240,6424,"FAILURE","PA","FDIC"
23335,"N","SNYDER, TX",754,"5/4/1984","5476","873","FIRST NATIONAL BANK",23518,22169,"FAILURE","IDT","FDIC"
1472,"NM","TELICO PLAINS, TN",6397,"4/27/1984","2382","868","CITIZENS BK OF MONROE COUNTY",21099,20643,"FAILURE","PA","FDIC"
22744,"NM","LOS ANGELES, CA",12681,"4/27/1984","6473","869","WEST COAST BANK",198210,189986,"FAILURE","PO","FDIC"
18527,"NM","CHICAGO, IL",876,"4/26/1984","6471","867","UNITED OF AMERICA BANK",38145,36913,"FAILURE","IDT","FDIC"
4380,"N","SHELBYVILLE, IN",378,"4/19/1984","2381","865","THE SHELBY NAT BK OF SHELBYVILLE",67778,65542,"FAILURE","PA","FDIC"
9312,"NM","GAMALIEL, KY",4665,"4/19/1984","6469","866","GAMALIEL BANK",22773,21509,"FAILURE","IDT","FDIC"
18961,"N","LUBBOCK, TX",3677,"4/13/1984","5468","864","SECURITY NATIONAL BK OF LUBBOCK",51404,49854,"FAILURE","IDT","FDIC"
20227,"NM","ERWIN, TN",6497,"4/6/1984","2379","862","FIRST SECURITY BANK",22457,21289,"FAILURE","PA","FDIC"
22210,"NM","ELIZABETHTON, TN",4832,"4/6/1984","2380","863","WATAUGA VALLEY BANK",15393,14880,"FAILURE","PA","FDIC"
31836,"SL","BILOXI, MS",10359,"4/3/1984","0","861","AMERICAN S&LA",9444,15631,"FAILURE","IDT","FSLIC"
29184,"SL","MINOT, ND",40485,"4/2/1984","1654","860","FIRST FS AND LA OF GRAND FORKS AND MINOT",245988,210581,"ASSISTANCE","A/A","FSLIC"
30911,"SL","DES MOINES, IA",3400,"4/1/1984","0","859","SCANDIA S&LA",65195,65919,"ASSISTANCE","A/A","FSLIC"
15783,"N","SEMINOLE, TX",1991,"3/16/1984","5464","857","SEMINOLE STATE NATIONAL BANK",51131,48364,"FAILURE","IDT","FDIC"
22093,"NM","ANAHEIM, CA",5153,"3/16/1984","6465","858","HERITAGE BANK",186068,180425,"FAILURE","PO","FDIC"
31716,"SL","MESQUITE, TX",266905,"3/14/1984","7508","856","EMPIRE S&LA",332512,303451,"FAILURE","PO","FSLIC"
14598,"N","TRAVERSE CITY, MI",12209,"3/9/1984","2378","855","NATIONAL BANK AND TRUST COMPANY OF TRAVERS",103968,97825,"FAILURE","PA","FDIC"
22784,"NM","MILWAUKIE, OR",3059,"3/2/1984","2376","853","UNITED BANK OF OREGON",17258,16056,"FAILURE","PA","FDIC"
22922,"N","VIRGINA GARDENS, FL",3128,"3/2/1984","2377","854","ALL AMERICAN NATIONAL BANK",13855,12033,"FAILURE","PA","FDIC"
30102,"SL","NORWALK, OH",3100,"3/1/1984","0","852","HOME S&LA",77455,75717,"ASSISTANCE","A/A","FSLIC"
1177,"NM","BROWNFIELD, TX",7574,"2/17/1984","2375","851","BROWNFIELD STATE BK & TR CO.",38854,37585,"FAILURE","PA","FDIC"
19282,"NM","LOS ANGELES, CA",2972,"2/10/1984","2374","850","WEST OLYMPIA BANK",20411,19916,"FAILURE","PA","FDIC"
10466,"NM","DEPUE, IL",1388,"2/8/1984","2373","849","HERITAGE BANK OF BUREAU COUNTY",8706,7846,"FAILURE","PA","FDIC"
843,"SM","PARSONS, WV",2614,"2/3/1984","2372","847","THE TUCKER COUNTY BANK",15437,14785,"FAILURE","PA","FDIC"
22929,"SM","SPRINGFIELD, OR",2410,"2/3/1984","2371","848","EMERALD EMPIRE BANKING CO.",22278,21331,"FAILURE","PA","FDIC"
20567,"NM","KANSAS CITY, KS",8506,"1/27/1984","6455","845","INDIAN SPRINGS STATE BANK",30896,27345,"FAILURE","IDT","FDIC"
31584,"SL","RICHMOND, VA",,"1/27/1984","0","846","UNION MUTUAL S&LA",8641,7945,"FAILURE","IDT","FSLIC"
9960,"NM","WHITE PINE, TN",4492,"1/20/1984","2370","844","CITY & COUNTY BK OF JEFFERSON CT",21712,22775,"FAILURE","PA","FDIC"
4971,"NM","WINCHESTER, TN",8093,"1/6/1984","2369","843","FARMERS BK & TR CO.",48606,48269,"FAILURE","PA","FDIC"
31558,"SL","MONROEVILLE, AL",2500,"12/30/1983","0","842","FIRST FS&LA OF MONROEVILLE",29780,29805,"ASSISTANCE","A/A","FSLIC"
